short_doi,doi
brsp,10.1039/C6EE02375D
br3p,10.1002/2016GL070500
f3r9bw,10.1002/adma.201603290
br3n,10.1111/evo.13090
bsc9,10.1016/j.cmet.2016.09.014
bsdh,10.1126/science.aaf2807
bscf,10.1073/pnas.1521540113
bsvc,10.1158/1078-0432.CCR-16-1300
f3s534,10.1002/adma.201604209
bsww,10.1016/j.cub.2016.09.040
btr7,10.1016/j.ccell.2016.10.007
btn5,10.1098/rspb.2016.2104
btkw,10.1111/nyas.13264
f3s8tb,10.1002/adma.201603937
f3s7dr,10.1002/adfm.201604465
btr6,10.1016/j.molcel.2016.10.025
bx8j,10.1021/jacs.6b12750
bz8n,10.1021/acsami.7b00270
bz4s,10.1002/ajpa.23193
bzw2,doi:10.1038/ncomms14435
b2jc,10.1101/gad.294348.116
b2hm,NA
b2jf,10.1084/jem.20162024
b2h9,10.1002/jwmg.21227
b2jd,10.1126/science.aam6960
b4dv,10.1016/j.stem.2017.02.009
b2vm,10.1039/C6TA11165C
b4r7,10.1126/science.aam7194
cp84,10.1002/anie.201802932
